Displ,Cyl,Trans,Drive,Fuel,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,Year,Car_Make,Car_Model,IsHybrid
1.5,4.0,SCV-7,2WD,Gasoline,large car,7,30.0,37,33,6.0,2024,ACURA,Integra,Not Hybrid
2.0,4.0,Man-6,2WD,Gasoline,large car,6,21.0,28,24,5.0,2024,ACURA,Integra,Not Hybrid
1.5,4.0,Man-6,2WD,Gasoline,large car,6,26.0,36,30,6.0,2024,ACURA,Integra A-Spec,Not Hybrid
1.5,4.0,SCV-7,2WD,Gasoline,large car,7,29.0,36,32,6.0,2024,ACURA,Integra A-Spec,Not Hybrid
3.5,6.0,SemiAuto-10,2WD,Gasoline,small SUV,5,19.0,26,22,5.0,2024,ACURA,MDX,Not Hybrid
3.5,6.0,SemiAuto-10,4WD,Gasoline,small SUV,5,19.0,25,21,4.0,2024,ACURA,MDX,Not Hybrid
3.0,6.0,SemiAuto-10,4WD,Gasoline,standard SUV,5,17.0,21,19,4.0,2024,ACURA,MDX Type-S,Not Hybrid
2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21.0,27,23,5.0,2024,ACURA,RDX,Not Hybrid
2.0,4.0,SemiAuto-10,4WD,Gasoline,small SUV,6,21.0,26,23,5.0,2024,ACURA,RDX A-SPEC,Not Hybrid
2.0,4.0,SemiAuto-10,2WD,Gasoline,small car,7,22.0,31,25,5.0,2024,ACURA,TLX,Not Hybrid
2.0,4.0,SemiAuto-10,4WD,Gasoline,small car,7,21.0,29,24,5.0,2024,ACURA,TLX AWD A-SPEC,Not Hybrid
3.0,6.0,SemiAuto-10,4WD,Gasoline,small car,5,19.0,25,21,4.0,2024,ACURA,TLX Type-S,Not Hybrid
2.0,4.0,Auto-8,2WD,Gasoline,midsize car,5,24.0,33,27,5.0,2024,ALFA ROMEO,Giulia,Not Hybrid
2.9,6.0,Auto-8,2WD,Gasoline,midsize car,3,17.0,25,20,4.0,2024,ALFA ROMEO,Giulia,Not Hybrid
2.0,4.0,Auto-8,4WD,Gasoline,midsize car,5,23.0,31,26,5.0,2024,ALFA ROMEO,Giulia AWD,Not Hybrid
2.0,4.0,Auto-8,2WD,Gasoline,small SUV,5,22.0,29,25,5.0,2024,ALFA ROMEO,Stelvio,Not Hybrid
2.0,4.0,Auto-8,4WD,Gasoline,small SUV,5,22.0,28,24,5.0,2024,ALFA ROMEO,Stelvio AWD,Not Hybrid
2.9,6.0,Auto-8,4WD,Gasoline,small SUV,3,17.0,23,19,4.0,2024,ALFA ROMEO,Stelvio AWD,Not Hybrid
1.3,4.0,Auto-6,4WD,Gasoline,small SUV,6,29.0,29/77,29/77,9.0,2024,ALFA ROMEO,Tonale eAWD,Electric Hybrid
1.3,4.0,Auto-6,4WD,Electricity,small SUV,6,77.0,29/77,29/77,9.0,2024,ALFA ROMEO,Tonale eAWD,Electric Hybrid
4.0,8.0,Auto-8,2WD,Gasoline,small car,5,15.0,22,17,3.0,2024,ASTON MARTIN,DB12 V8,Not Hybrid
4.0,8.0,Auto-9,4WD,Gasoline,standard SUV,5,15.0,20,17,3.0,2024,ASTON MARTIN,DBX 707,Not Hybrid
4.0,8.0,Auto-9,4WD,Gasoline,standard SUV,5,14.0,20,16,3.0,2024,ASTON MARTIN,DBX V8,Not Hybrid
5.2,12.0,Man-6,2WD,Gasoline,small car,3,12.0,18,14,2.0,2024,ASTON MARTIN,Valour,Not Hybrid
2.0,4.0,AMS-7,2WD,Gasoline,small car,7,29.0,37,32,6.0,2024,AUDI,A3,Not Hybrid
2.0,4.0,AMS-7,4WD,Gasoline,small car,7,27.0,34,30,6.0,2024,AUDI,A3,Not Hybrid
2.0,4.0,AMS-7,4WD,Gasoline,small car,5,26.0,35,30,6.0,2024,AUDI,A4,Not Hybrid
2.0,4.0,AMS-7,4WD,Gasoline,small car,5,24.0,32,27,5.0,2024,AUDI,A4 S line quattro,Not Hybrid
2.0,4.0,AMS-7,4WD,Gasoline,station wagon,5,23.0,30,26,5.0,2024,AUDI,A4 allroad quattro,Not Hybrid
